ies,curso,area,municipio,N,fracN,idd,cpc,cpcf,ano
14,1227,28,4318705,33.0,0.568965494632721,0.37469804286956787,3.2031914121105336,4,2016
14,57728,36,4318705,22.0,0.5365853905677795,0.7084769606590271,3.294968400037003,4,2016
14,1242,38,4318705,16.0,0.5714285969734192,0.37706199288368225,3.461159834142649,4,2016
14,1149146,55,4318705,24.0,0.8571428656578064,-0.10266159474849701,3.1791135927126324,4,2016
14,1149080,91,4318705,6.0,0.6666666865348816,-8.202847480773926,1.6877373953850217,2,2016
14,91921,92,4318705,21.0,0.6363636255264282,-1.644243597984314,2.6200394129881017,3,2016
14,98393,3501,4318705,13.0,0.25999999046325684,0.4396609365940094,3.0152061701459654,4,2016
15,1322,36,3303906,6.0,0.6000000238418579,0.3749413788318634,2.814831637274753,3,2016
15,150246,55,3303906,29.0,0.8787878751754761,0.1098298579454422,2.6247483511654104,3,2016
15,1192472,3501,3303906,7.0,0.3888888955116272,0.3114107847213745,2.806516333171521,3,2016
17,1440,5,3170206,76.0,0.9156626462936401,0.12026480585336685,3.3566022379804594,4,2016
17,1441,6,3170206,76.0,0.9268292784690857,-0.29787129163742065,3.1138538690601387,4,2016
17,1439,12,3170206,86.0,0.9885057210922241,-0.5761635899543762,2.778826517794022,3,2016
17,1433,17,3170206,92.0,0.8141592741012573,-0.6888601183891296,3.077948188217424,4,2016
17,1137715,17,3143104,43.0,0.9772727489471436,0.07276105135679245,3.473905671855116,4,2016
17,20604,23,3170206,45.0,0.8999999761581421,-0.025024183094501495,3.1698026395482133,4,2016
17,115726,28,3170206,45.0,0.9375,-0.7884690165519714,3.2094192502999572,4,2016
17,115800,36,3170206,55.0,0.9166666865348816,-0.611568033695221,3.2096112757775743,4,2016
17,1109223,38,3134202,40.0,1.0,-0.2687866687774658,3.113064239805536,4,2016
17,1107143,51,3170206,53.0,0.9464285969734192,0.5669367909431458,3.339671015092441,4,2016
17,98992,55,3170206,24.0,1.0,-0.8713818788528442,3.0489251431253166,4,2016
17,301438,3501,3170206,65.0,0.7471264600753784,-0.8030064105987549,2.815191134681524,3,2016
18,1518,12,4314407,81.0,0.9759036302566528,-0.6611661911010742,2.3310846415170077,3,2016
