area,nomarea,ies,nomies,ca,curso,N,enade,ce,ano
22,CIÊNCIAS CONTÁBEIS,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,51377,12,1.96697667,3,2018
18,PSICOLOGIA,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,51382,30,2.679970533,3,2018
1,ADMINISTRAÇÃO,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,51388,16,3.766811852,4,2018
22,CIÊNCIAS CONTÁBEIS,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,51391,35,2.964228094,4,2018
22,CIÊNCIAS CONTÁBEIS,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,51405,10,2.909532941,3,2018
1,ADMINISTRAÇÃO,532,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,Privada sem fins lucrativos,51442,32,2.388706126,3,2018
26,DESIGN,1557,UNIVERSIDADE FUMEC,Privada sem fins lucrativos,51534,2,1.596964606,2,2018
26,DESIGN,1557,UNIVERSIDADE FUMEC,Privada sem fins lucrativos,51539,51,1.957348975,3,2018
26,DESIGN,1557,UNIVERSIDADE FUMEC,Privada sem fins lucrativos,51540,9,2.133540023,3,2018
1,ADMINISTRAÇÃO,1933,FACULDADE BIRIGUI,Privada com fins lucrativos,51546,3,0.934708344,1,2018
1,ADMINISTRAÇÃO,1934,FACULDADE SINOP,Privada com fins lucrativos,51549,14,1.751330785,2,2018
1,ADMINISTRAÇÃO,1936,FACULDADE LA SALLE,Privada sem fins lucrativos,51611,38,2.233942304,3,2018
22,CIÊNCIAS CONTÁBEIS,1936,FACULDADE LA SALLE,Privada sem fins lucrativos,51615,41,2.305018537,3,2018
13,CIÊNCIAS ECONÔMICAS,719,UNIVERSIDADE DO ESTADO DE MATO GROSSO,Pessoa Jurídica de Direito Público - Estadual,51618,21,1.923945723,2,2018
22,CIÊNCIAS CONTÁBEIS,1939,INSTITUTO DE ENSINO SUPERIOR DE LONDRINA - INESUL,Privada com fins lucrativos,51640,8,2.105535585,3,2018
2,DIREITO,1895,CENTRO UNIVERSITÁRIO CHRISTUS,Privada com fins lucrativos,51662,96,3.897880875,4,2018
2,DIREITO,1379,FACULDADES INTEGRADAS SÃO PEDRO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,51664,74,4.275169872,5,2018
1,ADMINISTRAÇÃO,1940,FACULDADE DE NOVA SERRANA,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,51666,19,3.238919866,4,2018
2,DIREITO,1461,FACULDADE DE TECNOLOGIA E CIÊNCIAS,Privada com fins lucrativos,51670,51,2.086347516,3,2018
2,DIREITO,1738,INSTITUTO LUTERANO DE ENSINO SUPERIOR DE PORTO VELHO,Privada com fins lucrativos,51672,70,2.447366212,3,2018
2,DIREITO,1786,INSTITUTO MACHADENSE DE ENSINO SUPERIOR,Privada sem fins lucrativos,51674,38,2.63468799,3,2018
2,DIREITO,1426,INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,Privada com fins lucrativos,51676,69,2.717619349,3,2018
2,DIREITO,1124,Faculdade Dom Pedro II de Barreiras,Privada com fins lucrativos,51678,71,2.354362541,3,2018
2,DIREITO,265,FACULDADES INTEGRADAS DE OURINHOS,Privada sem fins lucrativos,51681,109,3.412691755,4,2018
2,DIREITO,1789,FACULDADE CATUAÍ,Privada com fins lucrativos,51687,48,1.969185937,3,2018
1,ADMINISTRAÇÃO,1459,FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS,Privada sem fins lucrativos,51694,50,1.545264199,2,2018
1,ADMINISTRAÇÃO,1945,FACULDADE DE SORRISO,Privada com fins lucrativos,51719,15,1.842932292,2,2018
22,CIÊNCIAS CONTÁBEIS,1946,FACULDADE LEGALE,Privada com fins lucrativos,51721,20,2.98333748,4,2018
29,TURISMO,1941,FACULDADE CUIABÁ,Privada com fins lucrativos,51761,17,0.848003472,1,2018
22,CIÊNCIAS CONTÁBEIS,1952,FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DO ARAGUAIA,Privada com fins lucrativos,51770,24,3.099314192,4,2018
2,DIREITO,5439,CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL PROFESSOR APPARECIDO DOS SANTOS,Privada com fins lucrativos,51829,198,1.77895247,2,2018
1,ADMINISTRAÇÃO,1961,INSTITUTO TECNOLÓGICO E DAS CIÊNCIAS SOCIAIS APLICADAS E DA SAÚDE DO CENTRO EDUC. N. SRª AUXILIADORA,Privada sem fins lucrativos,51839,12,2.725018158,3,2018
101,TEOLOGIA,430,CENTRO UNIVERSITÁRIO FILADÉLFIA,Privada sem fins lucrativos,51878,15,1.856567092,2,2018
105,TECNOLOGIA EM GESTÃO DA QUALIDADE,1295,FACULDADE DE EDUCAÇÃO E TECNOLOGIA IRACEMA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,51895,5,2.775632778,3,2018
1,ADMINISTRAÇÃO,3151,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,51918,15,2.107191799,3,2018
1,ADMINISTRAÇÃO,1978,FACULDADE METROPOLITANA DA GRANDE FORTALEZA,Privada com fins lucrativos,51922,90,2.945758309,4,2018
1,ADMINISTRAÇÃO,1980,FACULDADE SINERGIA,Privada com fins lucrativos,51942,27,2.89493797,3,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,3304,FACULDADES INTEGRADAS DE PATOS,Privada com fins lucrativos,51947,10,1.986710412,3,2018
26,DESIGN,82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,Privada sem fins lucrativos,51987,18,2.858613014,3,2018
26,DESIGN,374,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,Privada com fins lucrativos,51988,32,1.063540038,2,2018
1,ADMINISTRAÇÃO,4826,FACULDADE ANHANGÜERA DE CAMPINAS,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,52013,55,2.096007314,3,2018
1,ADMINISTRAÇÃO,1986,CENTRO UNIVERSITÁRIO ESTÁCIO JUIZ DE FORA - ESTÁCIO JUIZ DE FORA,Privada com fins lucrativos,52021,90,2.417126406,3,2018
1,ADMINISTRAÇÃO,670,UNIVERSIDADE SÃO FRANCISCO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,52040,48,2.744310147,3,2018
2,DIREITO,1336,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,Privada sem fins lucrativos,52071,157,2.781209048,3,2018
18,PSICOLOGIA,1336,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,Privada sem fins lucrativos,52073,75,2.38016055,3,2018
18,PSICOLOGIA,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,Pessoa Jurídica de Direito Público - Federal,52125,45,3.899226026,4,2018
