area,ies,municipio,Ncursos,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
5401,585,4205407,1,66,48,3.6303795208301812,16,0.3333333333333333,0.21697077251877261,2.992572591683247,4,2014
5401,586,3304557,1,78,66,3.9252049943685288,55,0.8333333333333334,-1.691653100420982,2.917050365197569,3,2014
5401,587,2611606,1,80,61,1.3108821154877777,22,0.36065573770491804,-2.7502874320328816,1.9749099106188883,3,2014
5401,591,3518800,1,174,70,1.5602569281145535,42,0.6,-1.378926265410191,2.511077019632822,3,2014
5401,595,3101607,1,23,23,4.392985383038905,17,0.7391304347826086,0.6500206812996827,3.270980192737957,4,2014
5401,609,4127700,1,8,5,2.9713647948965947,0,0.0,,3.4214858099696928,4,2014
5401,634,4314407,1,14,12,2.059688365880676,8,0.6666666666666666,0.08422577303198553,2.7838750372931154,3,2014
5401,694,5002704,1,35,30,0.8019890724336736,20,0.6666666666666666,-0.9911956056751509,2.1025664271691973,3,2014
5401,699,1100205,1,9,5,1.0444138173543185,1,0.2,,,,2014
5401,746,2304202,1,12,11,2.1525241556048305,5,0.45454545454545453,0.7584671485833254,2.3393836961877312,3,2014
5401,789,1400100,1,33,13,1.2367368858223537,3,0.23076923076923078,3.0021593625841425,2.8153173345496603,3,2014
5401,830,1600303,1,96,64,1.434127172909896,31,0.484375,-0.1782372802681939,2.3150443040199122,3,2014
5401,1027,3301009,1,13,11,2.66462227204417,2,0.18181818181818182,,3.085605935280958,4,2014
5401,1153,3304557,1,26,20,0.9326763527305959,11,0.55,-0.6139953064646306,2.113606370307313,3,2014
5401,2564,2504009,1,29,24,2.70298673208619,10,0.4166666666666667,1.2325719168240887,2.6229587856393795,3,2014
5401,3614,3304557,1,7,7,4.645177187134127,3,0.42857142857142855,-0.8238733596282847,3.1542879628954728,4,2014
5401,3984,2918407,1,12,8,4.9862753112816,7,0.875,2.643596758123105,3.6246250963948254,4,2014
5401,4503,2904902,1,33,32,2.7366284363549394,27,0.84375,0.12350139536980168,2.882208714434719,3,2014
5401,4504,5003702,1,12,10,2.699080685913334,0,0.0,,3.475694769726262,4,2014
5401,5322,4318002,1,32,29,1.647073485303954,27,0.9310344827586207,-0.16898162486834226,,,2014
5402,1,5103403,1,2,2,0.0,1,0.5,,1.6263133502524452,2,2014
5402,2,5300108,1,46,36,3.5105347550061934,16,0.4444444444444444,-2.4700704499681194,2.9331421803782973,3,2014
5402,3,2806701,1,18,13,2.145586294833331,5,0.38461538461538464,0.9871563304637079,2.9535830003123205,4,2014
5402,5,2207702,1,19,19,2.0604338454959903,3,0.15789473684210525,,,,2014
5402,5,2211001,2,24,19,3.410131823931534,18,0.9473684210526315,0.909695195361452,3.2053,4,2014
5402,8,3171303,1,64,57,2.6177271790969145,49,0.8596491228070176,-1.0870855801374038,3.1017145669938895,4,2014
5402,9,4113700,3,80,67,3.1170970005935383,26,0.3880597014925373,-1.2931880950998271,3.020985075037671,4,2014
5402,10,4106902,2,24,21,2.205475966622068,15,0.7142857142857143,-0.8389726826127323,2.7949474290189134,3,2014
5402,13,4305108,1,4,3,2.2748289461018167,0,0.0,,2.6550097625077838,3,2014
5402,14,4318705,1,12,11,3.820025626404543,3,0.2727272727272727,6.994263147728475,4.454073916998698,5,2014
5402,17,3170206,1,157,73,0.0,54,0.7397260273972602,-1.5865438452599898,2.3704769998225292,3,2014
5402,19,3509502,1,43,26,2.5949276983831426,11,0.4230769230769231,-1.9659283845298432,2.6623594601364644,3,2014
5402,21,4314902,1,9,9,2.7458290624029926,6,0.6666666666666666,-1.332488600330759,3.0393365930745633,4,2014
5402,24,2913606,2,40,38,2.675792629209934,11,0.2894736842105263,0.600479421353556,,,2014
5402,29,2304400,1,18,6,2.218079409482161,3,0.5,-3.9047456504482128,2.501152270914016,3,2014
5402,40,2900702,1,16,13,1.6049114725588507,2,0.15384615384615385,,,,2014
5402,40,2903201,1,18,18,2.703846567104663,0,0.0,,,,2014
5402,40,2914703,1,15,15,1.916338706567959,0,0.0,,,,2014
5402,40,2930105,1,19,18,1.0601038087709123,1,0.05555555555555555,,,,2014
5402,40,2931350,1,12,12,2.2722574531833084,0,0.0,,,,2014
5402,54,3509502,2,68,39,1.051083938232882,14,0.358974358974359,-6.60316065777878,2.026153970066577,3,2014
5402,56,3503208,1,66,31,2.900151191136703,21,0.6774193548387096,-0.4991416735099705,3.029052765531638,4,2014
5402,56,3529005,1,83,0,,0,,,,SC,2014
5402,57,4115200,1,14,14,4.342453752553663,7,0.5,2.3903465633844525,3.7240701901656483,4,2014
5402,71,2408003,1,9,9,1.9074261357739468,3,0.3333333333333333,-0.8871961451519148,2.767038910871401,3,2014
5402,76,4202404,1,2,1,,0,0.0,,,SC,2014
5402,95,2312908,1,41,33,2.134161846581098,17,0.5151515151515151,-2.205919440464717,2.3835010784755237,3,2014
5402,167,3548708,1,95,81,2.5940381732183333,23,0.2839506172839506,-0.025920607373831433,2.7188705792875654,3,2014
5402,176,3304557,1,3,0,,0,,,,,2014
5402,316,3550308,1,30,28,3.7562913249162992,8,0.2857142857142857,6.16214376636973,4.253535300180875,5,2014
5402,338,3106200,1,12,12,3.4790822242517687,8,0.6666666666666666,0.3525964530393999,3.356007305123486,4,2014
5402,383,1501402,1,4,3,2.0934624824093087,0,0.0,,2.5413932546853117,3,2014
5402,417,3550308,1,134,79,2.3146333805441044,2,0.02531645569620253,,,,2014
5402,441,4203808,1,12,11,3.037082137257844,2,0.18181818181818182,,2.976132110306912,4,2014
5402,449,4304606,1,13,6,0.9268474866718492,0,0.0,,1.7234564151375658,2,2014
5402,528,3304557,1,16,14,3.4415127936989367,5,0.35714285714285715,3.857591803731849,3.815650556159602,4,2014
5402,532,4310207,1,23,19,2.2512655241252206,3,0.15789473684210525,,3.0552069954021794,4,2014
5402,547,3304557,1,109,74,2.571226153721966,19,0.25675675675675674,-0.5560805336044758,3.0021268884145225,4,2014
5402,548,2111300,1,17,14,2.6202484660121623,1,0.07142857142857142,,3.184722374442365,4,2014
5402,568,2111300,1,27,26,3.4065815415104477,18,0.6923076923076923,0.7249894684311988,,,2014
5402,569,1501402,1,624,274,1.6886951354705435,62,0.22627737226277372,-0.5953811686212417,2.874839586406819,3,2014
5402,570,2408102,1,69,50,2.824796746958659,24,0.48,0.24072023336185833,3.107503187450185,4,2014
5402,571,4106902,1,55,34,3.919651797681943,11,0.3235294117647059,0.5553160733471766,3.443749112524136,4,2014
5402,572,3301009,1,25,21,2.600934297799007,17,0.8095238095238095,0.4331934718954623,3.2459761884354927,4,2014
5402,572,3303302,1,34,22,2.4082530063192884,9,0.4090909090909091,-8.11221531379244,2.117647937016805,3,2014
5402,573,3205309,1,57,15,3.044309248667438,5,0.3333333333333333,0.39387268655000296,3.119808125582595,4,2014
5402,574,3305554,1,52,46,3.592317585342812,39,0.8478260869565217,-0.9549895402342806,3.2606017994854932,4,2014
5402,575,3106200,1,18,12,4.013566276972423,2,0.16666666666666666,,3.7891361453450907,4,2014
5402,576,3136702,1,7,4,5.0,0,0.0,,4.678746828486898,5,2014
5402,577,2704302,1,80,47,2.1708149798163925,15,0.3191489361702128,0.017340815789000884,2.8604849110074344,3,2014
5402,578,2927408,1,42,28,3.7973968275559953,8,0.2857142857142857,-3.5575373670751214,2.648787110754187,3,2014
5402,579,2507507,1,43,35,1.4179882837084217,7,0.2,-4.989993838533779,2.078997214877702,3,2014
